country_name,iso3,date,year,month,electricity_demand_mwh,solar_generation_mwh,wind_generation_mwh,temperature_c,population_millions,gdp_usd,latitude,longitude,data_source,notes
France,FRA,2022-05-01,2022,5,50247.0,388.1,3764.8,13.0,67.8,"3,885,600",46.2,2.2,demo_v1,
Spain,ESP,2020-02-01,2020,2,35214.4,3148.6,5925.1,-3.32,47.4,"2,323,200",40.5,-3.7,demo_v1,
Spain,ESP,2023-06-01,2023,6,28619.8,,2129.3,,47.4,"2,371,200",40.5,-3.7,demo_v1,
Germany,DEU,2020-05-01,2020,5,53177.7,2611.9,5068.8,15.89,83.2,"4,126,800",51.2,10.4,demo_v1,
Germany,DEU,2022-09-01,2022,9,57455.9,3151.1,4578.9,,83.2,"4,160,400",51.2,10.4,demo_v1,
France,FRA,2020-06-01,2020,6,42532.2,,3746.6,,67.8,"3,858,000",46.2,2.2,demo_v1,
France,FRA,2023-04-01,2023,4,63155.5,1504.3,3547.0,,67.8,"3,898,800",46.2,2.2,demo_v1,
Spain,ESP,2020-01-01,2020,1,35579.4,,3839.8,-1.3,47.4,"2,322,000",40.5,-3.7,demo_v1,
France,FRA,2022-05-01,2022,5,50247.0,388.1,3764.8,13.0,67.8,"3,885,600",46.2,2.2,demo_v1,
Spain,ESP,2020-10-01,2020,10,31252.1,1596.1,1763.0,12.28,47.4,"2,332,800",40.5,-3.7,demo_v1,
Germany,DEU,2021-07-01,2021,7,47842.7,2012.8,4402.9,22.22,83.2,"4,143,600",51.2,10.4,demo_v1,
Spain,ESP,2021-05-01,2021,5,31749.5,900.3,2582.5,15.67,47.4,"2,341,200",40.5,-3.7,demo_v1,
Germany,DEU,2021-09-01,2021,9,52804.4,,8723.0,15.37,83.2,"4,146,000",51.2,10.4,demo_v1,
Spain,ESP,2020-07-01,2020,7,26196.5,1478.3,3239.6,22.12,47.4,"2,329,200",40.5,-3.7,demo_v1,
Germany,DEU,2020-07-01,2020,7,45182.4,,3256.5,,83.2,"4,129,200",51.2,10.4,demo_v1,
Spain,ESP,2023-04-01,2023,4,35257.1,,1821.1,9.09,47.4,"2,368,800",40.5,-3.7,demo_v1,
France,FRA,2021-03-01,2021,3,56122.7,,1832.1,3.0,67.8,"3,868,800",46.2,2.2,demo_v1,
Germany,DEU,2021-03-01,2021,3,63979.8,2646.3,4446.1,4.11,83.2,"4,138,800",51.2,10.4,demo_v1,
Spain,ESP,2021-08-01,2021,8,26925.4,1077.4,2793.3,21.4,47.4,"2,344,800",40.5,-3.7,demo_v1,
Germany,DEU,2023-12-01,2023,12,73159.4,2547.8,4827.4,-1.46,83.2,"4,178,400",51.2,10.4,demo_v1,
Spain,ESP,2022-07-01,2022,7,28216.5,1108.2,3583.1,25.5,47.4,"2,358,000",40.5,-3.7,demo_v1,
France,FRA,2021-11-01,2021,11,60360.6,3331.7,6255.8,1.77,67.8,"3,878,400",46.2,2.2,demo_v1,
Germany,DEU,2022-01-01,2022,1,73665.0,,7626.4,1.05,83.2,"4,150,800",51.2,10.4,demo_v1,
France,FRA,2022-09-01,2022,9,53378.1,,5444.3,16.21,67.8,"3,890,400",46.2,2.2,demo_v1,
Spain,ESP,2021-06-01,2021,6,27964.7,1796.3,2075.6,18.75,47.4,"2,342,400",40.5,-3.7,demo_v1,
Spain,ESP,2022-04-01,2022,4,32318.4,1625.7,2020.5,9.26,47.4,"2,354,400",40.5,-3.7,demo_v1,
France,FRA,2021-07-01,2021,7,47687.0,3703.4,7673.4,23.41,67.8,"3,873,600",46.2,2.2,demo_v1,
Germany,DEU,2020-04-01,2020,4,58594.0,2750.9,2047.9,8.12,83.2,"4,125,600",51.2,10.4,demo_v1,
